barchartReorder1, Legal, 4
barchartReorder2, Legal, 3
barchartReorder3, Legal, 3
barchartReorder4, Legal, 3
barchartReorder5, Legal, 3
barchartReorder6, Legal, 3
barchartReorder7, Legal, 3
barchartReorder8, Legal, 3
barchartReorder9, Legal, 3
barchartReorder10, Legal, 3
barchartReorder11, Legal, 3
barchartReorder12, Legal, 3
barchartReorder13, Legal, 3
barchartReorder14, Legal, 3
barchartReorder15, Legal, 3
BarchartReorderMethod, , ,Sometimes, 3, 3, 3, 3 
barchartFilter1, Legal, 3
barchartFilter2, Legal, 3
barchartFilter3, Legal, 3
barchartFilter4, Legal, 3
barchartFilter5, Legal, 3
barchartFilter6, Legal, 3
barchartFilter7, Legal, 3
barchartFilter8, Legal, 3
barchartFilter9, Legal, 3
barchartFilter10, Legal, 3
barchartFilter11, Legal, 3
barchartFilter12, Legal, 3
barchartFilter13, Legal, 3
barchartFilter14, Legal, 3
barchartFilter15, Legal, 3
BarchartFilterMethod,,, Most of the time, 3, 3, 3,  
